category_id,category_title,category_path
13021,Базы и топы,1.10012.10113.13021
2740,Полки и подставки,1.10018.10110.12842.2740
13182,Салюты,1.10018.10118.10749.13182
2864,Ложки для обуви,1.10018.10110.12823.2864
14154,Аромабудильники и картриджи,1.10020.10227.14154
12486,Травяные,1.10018.10049.10770.12486
13419,Ножницы,1.10012.10113.10355.13419
2736,Аксессуары для стирки и глажки,1.10018.10110.12823.2736
14255,Охлаждение напитков,1.10018.10115.11097.14255
10483,Пледы и покрывала,1.10018.10049.10483
12243,Док-станции,1.10020.10044.11281.12243
11708,Фотобоксы,1.10020.10180.11254.11708
12230,Вешалки,1.10018.10219.12230
13175,Мини-солярии,1.10012.10094.13175
14137,Масло для ванны,1.10012.10070.11204.14137
11438,Средства против целлюлита и растяжек,1.10012.10070.11438
11944,Посуда для духовки,1.10018.10115.11390.11944
12709,Аксессуары,1.10020.10197.12709
14151,Беременным и кормящим,1.10012.10232.14151
12521,Основы под макияж,1.10012.10091.11292.12521
12314,Оптические носители и аксессуары,1.10020.10074.11087.12314
13562,Подставки для яиц,1.10018.10115.10289.13562
11681,Масла,1.10012.10165.10705.11681
11663,Миксеры и разбавители косметики,1.10012.10091.11328.11663
11657,Ведра и тазы,1.10018.10110.10559.11657
2865,Сушилки для обуви,1.10018.10110.12823.2865
12222,Батарейки,1.10020.10073.12222
13770,Прочие кухонные инструменты,1.10018.10115.10890.13770
12642,Пудры,1.10012.10091.11292.12642
11587,Кронштейны и Крепления,1.10020.10129.11384.11587
13379,Химическая завивка,1.10012.10165.11285.13379
12667,Банки и крышки,1.10018.10115.10992.12667
14117,Запчасти и аксессуары,1.10020.10086.11138.14117
11933,Аксессуары для пивоварения,1.10018.10115.11129.11933
12142,Наборы столовых приборов,1.10018.10115.10622.12142
12328,Наклейки для телефонов,1.10020.10044.10398.12328
13942,Моноблоки,1.10020.10074.11442.13942
13314,Шредеры,1.10020.10086.11266.13314
12121,Духи сухие и масляные,1.10012.10084.12121
13694,Блески и тинты,1.10012.10091.10696.13694
12407,Термокружки,1.10018.10115.10586.12407
13990,Очищающие полоски,1.10012.10137.10751.13990
13722,Сабвуферы,1.10020.10144.10374.13722
11841,Точилки и трафареты,1.10012.10091.11328.11841
2749,Костюмы,1.10018.10118.13534.2749
10219,Хранение вещей,1.10018.10219
11555,Сетевые экраны и шлюзы,1.10020.10074.11350.11555
13986,Половники,1.10018.10115.10890.13986
