iter	Passed	Remaining
0	186	37185
1	200	19844
2	217	14257
3	236	11587
4	252	9866
5	268	8694
6	282	7799
7	296	7120
8	316	6708
9	335	6367
10	347	5964
11	361	5665
12	379	5453
13	395	5258
14	420	5182
15	435	5009
16	447	4818
17	472	4776
18	491	4679
19	505	4552
20	517	4414
21	534	4323
22	548	4218
23	559	4105
24	570	3994
25	590	3948
26	601	3854
27	614	3777
28	629	3712
29	646	3662
30	659	3593
31	673	3538
32	688	3485
33	704	3437
34	720	3397
35	734	3346
36	751	3310
37	765	3263
38	778	3211
39	794	3176
40	813	3153
41	832	3131
42	850	3103
43	873	3096
44	897	3090
45	916	3069
46	937	3053
47	954	3022
48	972	2995
49	986	2960
50	1000	2921
51	1016	2892
52	1031	2859
53	1046	2829
54	1063	2802
55	1080	2777
56	1092	2741
57	1110	2719
58	1126	2693
59	1138	2655
60	1149	2619
61	1163	2590
62	1179	2564
63	1193	2537
64	1211	2515
65	1227	2491
66	1247	2476
67	1261	2448
68	1272	2415
69	1285	2386
70	1306	2374
71	1326	2357
72	1340	2332
73	1352	2303
74	1365	2275
75	1380	2252
76	1396	2229
77	1413	2210
78	1424	2182
79	1436	2154
80	1451	2131
81	1468	2113
82	1485	2094
83	1501	2073
84	1516	2051
85	1528	2025
86	1545	2007
87	1560	1985
88	1575	1964
89	1593	1947
90	1609	1927
91	1623	1905
92	1637	1883
93	1652	1863
94	1667	1842
95	1678	1818
96	1692	1797
97	1708	1777
98	1727	1762
99	1743	1743
100	1759	1724
101	1775	1705
102	1792	1687
103	1804	1665
104	1816	1643
105	1829	1622
106	1848	1606
107	1866	1589
108	1882	1571
109	1898	1553
110	1914	1535
111	1927	1514
112	1946	1499
113	1962	1480
114	1974	1459
115	1986	1438
116	2002	1420
117	2020	1404
118	2034	1384
119	2045	1363
120	2056	1342
121	2071	1324
122	2084	1304
123	2096	1284
124	2109	1265
125	2127	1249
126	2139	1229
127	2152	1210
128	2169	1194
129	2186	1177
130	2197	1157
131	2208	1137
132	2222	1119
133	2238	1102
134	2254	1085
135	2273	1069
136	2289	1053
137	2307	1036
138	2325	1020
139	2342	1003
140	2356	985
141	2367	966
142	2382	949
143	2400	933
144	2417	917
145	2429	898
146	2441	880
147	2455	862
148	2471	845
149	2489	829
150	2502	812
151	2515	794
152	2531	777
153	2543	759
154	2555	741
155	2569	724
156	2586	708
157	2601	691
158	2617	674
159	2631	657
160	2647	641
161	2664	625
162	2680	608
163	2693	591
164	2707	574
165	2726	558
166	2741	541
167	2753	524
168	2766	507
169	2779	490
170	2791	473
171	2806	456
172	2822	440
173	2839	424
174	2855	407
175	2866	390
176	2883	374
177	2898	358
178	2912	341
179	2928	325
180	2946	309
181	2959	292
182	2975	276
183	2994	260
184	3012	244
185	3029	228
186	3047	211
187	3062	195
188	3078	179
189	3098	163
190	3116	146
191	3132	130
192	3148	114
193	3165	97
194	3179	81
195	3192	65
196	3210	48
197	3223	32
198	3241	16
199	3260	0
